System	Time	Event
1	10	1
1	42	1
1	51	1
1	68	1
1	85	1
1	110	1
1	120	1
1	146	1
1	157	1
1	167	1
1	194	1
1	200	0
2	23	1
2	24	1
2	39	1
2	41	1
2	72	1
2	83	1
2	95	1
2	100	1
2	116	1
2	125	1
2	136	1
2	138	1
2	165	1
2	166	1
2	200	0
3	4	1
3	14	1
3	30	1
3	48	1
3	72	1
3	90	1
3	103	1
3	117	1
3	125	1
3	136	1
3	157	1
3	171	1
3	173	1
3	175	1
3	200	0
4	13	1
4	32	1
4	44	1
4	66	1
4	74	1
4	93	1
4	99	1
4	107	1
4	121	1
4	129	1
4	131	1
4	153	1
4	157	1
4	163	1
4	185	1
4	200	0
5	9	1
5	13	1
5	14	1
5	22	1
5	24	1
5	40	1
5	49	1
5	52	1
5	61	1
5	79	1
5	97	1
5	106	1
5	116	1
5	117	1
5	132	1
5	143	1
5	148	1
5	171	1
5	196	1
5	200	0
6	8	1
6	9	1
6	25	1
6	31	1
6	40	1
6	62	1
6	73	1
6	88	1
6	107	1
6	118	1
6	124	1
6	154	1
6	158	1
6	178	1
6	200	0
7	2	1
7	8	1
7	33	1
7	44	1
7	72	1
7	89	1
7	129	1
7	143	1
7	164	1
7	189	1
7	190	1
7	200	0
8	1	1
8	29	1
8	31	1
8	38	1
8	60	1
8	82	1
8	83	1
8	101	1
8	102	1
8	128	1
8	129	1
8	153	1
8	182	1
8	200	0
9	35	1
9	42	1
9	59	1
9	70	1
9	87	1
9	91	1
9	92	1
9	116	1
9	117	1
9	118	1
9	123	1
9	151	1
9	158	1
9	166	1
9	181	1
9	182	1
9	200	0
