System	Time	Event
1	9.197	1
1	14.761	1
1	19.246	1
1	24.597	1
1	25.302	1
1	30.948	1
1	31.602	1
1	34.574	1
1	41.059	1
1	44.114	1
1	44.279	1
1	46.381	1
1	54.519	1
1	56.355	1
1	74.44	1
1	77.236	1
1	80.261	1
1	82.815	1
1	84.772	1
1	88.901	1
1	93.727	1
1	98.149	1
1	106.429	1
1	106.429	0
2	3.073	1
2	4.685	1
2	5.125	1
2	10.867	1
2	11.199	1
2	12.046	1
2	20.275	1
2	21.721	1
2	24.944	1
2	32.604	1
2	34.43	1
2	36.343	1
2	36.899	1
2	49.009	1
2	49.27	1
2	51.357	1
2	53.56	1
2	57.321	1
2	58.775	1
2	62.879	1
2	65.651	1
2	68.605	1
2	71.925	1
2	72.362	1
2	80.282	1
2	89.826	1
2	89.911	1
2	91.807	1
2	96.57	1
2	97.373	1
2	99.731	1
2	103.386	1
2	103.386	0
3	3.814	1
3	18.336	1
3	20.887	1
3	24.792	1
3	28.197	1
3	30.747	1
3	35.269	1
3	39.679	1
3	43.93	1
3	44.995	1
3	54.552	1
3	58.139	1
3	63.358	1
3	63.816	1
3	65.727	1
3	69.452	1
3	75.205	1
3	75.401	1
3	82.888	1
3	83.607	1
3	93.903	1
3	102.791	1
3	103.602	1
3	103.602	0
4	3.108	1
4	11.976	1
4	14.593	1
4	23.326	1
4	24.15	1
4	25.627	1
4	34.732	1
4	36.546	1
4	37.267	1
4	42.407	1
4	46.347	1
4	48.593	1
4	49.13	1
4	52.783	1
4	56.483	1
4	63.891	1
4	71.913	1
4	72.627	1
4	73.248	1
4	77.949	1
4	80.195	1
4	81.409	1
4	87.642	1
4	87.782	1
4	87.82	1
4	91.752	1
4	101.995	1
4	104.54	1
4	104.54	0
5	3.346	1
5	8.527	1
5	10.942	1
5	22.723	1
5	25.885	1
5	27.479	1
5	32.869	1
5	33.975	1
5	35.194	1
5	37.683	1
5	50.615	1
5	53.079	1
5	54.31	1
5	56.651	1
5	62.984	1
5	64.305	1
5	67.309	1
5	77.525	1
5	85.587	1
5	87.362	1
5	91.461	1
5	92.839	1
5	99.475	1
5	99.475	0
